IvsII	IIvsIII	IvsIII	stage8	stage18	stage21	stage25	stage27	stage35	ave	stageSpecific
ENSMUSG00000038168	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108434	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000031409	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000035021	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025321	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000071192	0	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000033209	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000037242	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028152	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022512	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000022353	0	0	0	0	0	0	1	0	1	0	1
ENSMUSG00000025140	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033446	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000021938	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000039115	0	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000035919	0	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000019845	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029661	1	0	1	0	0	1	0	0	1	1	0
ENSMUSG00000041548	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000025091	1	1	1	1	1	1	0	0	1	1	0
ENSMUSG00000075277	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000075324	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046618	1	0	1	0	0	0	1	0	0	1	0
ENSMUSG00000032228	0	0	0	0	0	1	1	0	0	0	1
ENSMUSG00000020844	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039419	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000014177	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000035357	0	0	1	1	1	0	0	0	1	1	0
ENSMUSG00000019842	1	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000032303	1	0	1	1	0	0	1	0	1	1	0
ENSMUSG00000039546	1	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000042244	1	0	1	1	1	1	0	0	0	1	0
ENSMUSG00000030263	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000025732	0	0	0	1	1	0	0	0	0	0	1
ENSMUSG00000019874	1	0	1	0	0	0	1	0	1	1	0
ENSMUSG00000027953	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000028041	0	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000033102	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089829	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000034324	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049791	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000003534	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000074227	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000068206	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028445	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000036782	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039835	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027944	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066842	0	0	1	0	0	1	1	0	0	1	0
ENSMUSG00000040270	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047751	1	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000025938	1	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000021458	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038648	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000051159	0	1	1	0	1	1	1	0	1	1	0
ENSMUSG00000026923	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000052707	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028145	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029781	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041703	1	0	1	0	0	0	0	1	1	1	0
ENSMUSG00000031074	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000031962	1	1	1	0	1	1	1	0	1	1	0
ENSMUSG00000061887	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043556	0	0	0	0	1	1	0	0	1	0	1
ENSMUSG00000036106	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000035799	0	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000025609	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074415	1	0	1	0	0	1	0	0	1	1	0
ENSMUSG00000037465	0	0	0	1	1	0	0	0	1	0	1
ENSMUSG00000041120	1	0	1	1	0	1	0	0	0	1	0
ENSMUSG00000052544	0	0	0	1	0	1	0	1	0	0	1
ENSMUSG00000036698	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070327	0	0	1	1	1	0	0	0	0	1	0
ENSMUSG00000003348	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000027882	0	0	1	0	1	1	0	1	0	1	0
ENSMUSG00000027861	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000040990	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039830	1	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000090164	1	1	1	1	0	0	1	0	0	1	0
ENSMUSG00000040007	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031375	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000040046	1	1	1	0	1	1	1	1	1	1	0
ENSMUSG00000070526	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000027099	0	0	0	0	0	1	0	0	0	0	1
